30001, 110
30002, 110
30003, 65535
30004, 65535
30005, 1
30006, 19
31101, 230
31102, 32768
31103, 65535
31104, 275
31105, 32768
31106, 0
31201, 0
31202, 0
31203, 0
31204, 32768
31205, 32768
31206, 0
31301, 0
31302, 0
31303, 0
31304, 32768
31305, 32768
31306, 0
31401, 0
31402, 0
31403, 0
31404, 32768
31405, 32768
31406, 0
32101, 450
32102, 435
33101, 19
33102, 1
33103, 27
33104, 280
33105, 260
33106, 60
33107, 170
33108, 32768
33109, 32768
33110, 0
33111, 279
34101, 0
34102, 23
34103, 0
34104, 0
34105, 0
34106, 0
34107, 0
35101, 0
35102, 0
35103, 32768
35104, 32768
35105, 0
35106, 32768
35107, 0
35108, 0
36101, 17
36102, 21
36103, 383
36104, 10759
36201, 13
36202, 15
36203, 244
36204, 8165
36301, 3
36302, 6
36303, 138
36304, 2593
36401, 0
36402, 0
36403, 0
36404, 0
36501, 0
36502, 0
36503, 0
36504, 345
36601, 17
36602, 21
36603, 382
36604, 10742
36701, 3
36702, 4
36703, 75
36704, 2682
36801, 0
40001, 1
40002, 0
41101, 3
41102, 1
41103, 0
41104, 25
41105, 230
41106, 200
41107, 170
41108, 40
41109, 180
41110, 350
41111, 32768
41112, 200
41201, 0
41202, 1
41203, 0
41204, 25
41205, 210
41206, 200
41207, 180
41208, 75
41209, 180
41210, 350
41211, 32768
41212, 200
41301, 0
41302, 1
41303, 0
41304, 25
41305, 210
41306, 200
41307, 180
41308, 75
41309, 180
41310, 350
41311, 32768
41312, 200
41401, 0
41402, 1
41403, 0
41404, 25
41405, 210
41406, 200
41407, 180
41408, 75
41409, 180
41410, 350
41411, 32768
41412, 200
42101, 1
42102, 0
42103, 450
42104, 350
42105, 1
43101, 4
43102, 0
43103, 1
43104, 90
43105, 90
43106, 80
43107, 95
43108, 168
43109, 219
43110, 168
44101, 255
44102, 5
44103, 6
44104, 32768
44105, 65486
44106, 65486
45101, 0
45102, 2
45103, 3
45104, 4
45105, 3
45106, 4
45107, 65535
45108, 1
